lat,lng,name,rating,types,Workspace
39.8395021,-86.1448064,Next Door American Eatery,4.9,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8508413,-86.1455825,The Jazz Kitchen,4.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8467806,-86.1460389,Red Key Tavern,4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.862479,-86.145641,Ambrosia,4.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8624019,-86.1463084,Binkley's KItchen and Bar,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8568055,-86.1577217,Meridian Restaurant & Bar,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8506202,-86.1455307,Yats,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8520897,-86.1209963,Great Wall,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8473778,-86.1452797,Delicia,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.85086,-86.140849,Mama Carolla's,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8472823,-86.1460157,Aristocrat Pub & Restaurant,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8513889,-86.1388889,Diavola,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8536785,-86.1597525,Illinois Street Food Emporium,4.6,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",The Speak Easy
39.8507848,-86.141332,Good Morning Mama's Cafe,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8690357,-86.1428085,3 Sisters Café,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8688101,-86.1403749,Shalimar Indian Restaurant,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8493489,-86.1414419,Half Liter BBQ & Beer Hall,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.868796,-86.1405539,Thai Cafe,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.8513015,-86.1461235,Twenty Tap,4.7,"['bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",The Speak Easy
39.8468203,-86.1461105,The Little India restaurant,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",The Speak Easy
39.9506398,-86.2823908,Oobatz Restaurant,2.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",zWORKS
39.9503348,-86.2612239,AUBERGE,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",zWORKS
39.9491667,-86.2613889,The Friendly Tavern,4.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",zWORKS
39.950266,-86.2617699,Cobblestone,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",zWORKS
